cli_codigo;cnae;cnae_descr;cne_cnae_principal
72613;7120-1/00;Testes e análises técnicas;1
72613;7490-1/99;Outras atividades profissionais, científicas e técnicas não especificadas anteriormente;0
72613;7210-0/00;Pesquisa e desenvolvimento experimental em ciências físicas e naturais;0
281372;1340-5/01;Estamparia e texturização em fios, tecidos, artefatos têxteis e peças do vestuário;1
281372;1311-1/00;Preparação e fiação de fibras de algodão;0
281372;1340-5/99;Outros serviços de acabamento em fios, tecidos, artefatos têxteis e peças do vestuário;0
843640;7739-0/99;Aluguel de outras máquinas e equipamentos comerciais e industriais não especificados anteriormente, sem operador;1
843640;3314-7/08;Manutenção e reparação de máquinas, equipamentos e aparelhos para transporte e elevação de cargas;0
843640;4530-7/03;Comércio a varejo de peças e acessórios novos para veículos automotores;0
843640;4930-2/02;Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional;0
843640;4930-2/04;Transporte rodoviário de mudanças;0
843640;4930-2/01;Transporte rodoviário de carga, exceto produtos perigosos e mudanças, municipal;0
1176388;1622-6/02;Fabricação de esquadrias de madeira e de peças de madeira para instalações industriais e comerciais;1
1176388;3101-2/00;Fabricação de móveis com predominância de madeira;0
1258567;4641-9/01;Comércio atacadista de tecidos;1
1258567;4641-9/03;Comércio atacadista de artigos de armarinho;0
1258567;4641-9/02;Comércio atacadista de artigos de cama, mesa e banho;0
1258567;4649-4/05;"Comércio atacadista de artigos de tapeçaria; persianas e cortinas";0
1258568;4641-9/01;Comércio atacadista de tecidos;1
1258568;1323-5/00;Tecelagem de fios de fibras artificiais e sintéticas;1
1258568;4649-4/05;"Comércio atacadista de artigos de tapeçaria; persianas e cortinas";0
1258568;4689-3/02;Comércio atacadista de fios e fibras beneficiados;0
1258568;4641-9/03;Comércio atacadista de artigos de armarinho;0
1258568;4641-9/02;Comércio atacadista de artigos de cama, mesa e banho;0
1295720;4661-3/00;"Comércio atacadista de máquinas, aparelhos e equipamentos para uso agropecuário; partes e peças";1
1295720;4520-0/02;Serviços de lanternagem ou funilaria e pintura de veículos automotores;0
1295720;4520-0/05;Serviços de lavagem, lubrificação e polimento de veículos automotores;0
1295720;4614-1/00;Representantes comerciais e agentes do comércio de máquinas, equipamentos, embarcações e aeronaves;0
1295720;6810-2/02;Aluguel de imóveis próprios;0
1295720;4520-0/01;Serviços de manutenção e reparação mecânica de veículos automotores;0
1320441;2122-0/00;Fabricação de medicamentos para uso veterinário;1
1320441;4623-1/09;Comércio atacadista de alimentos para animais;0
1320441;1066-0/00;Fabricação de alimentos para animais;0
1320441;7120-1/00;Testes e análises técnicas;0
1320441;4646-0/01;Comércio atacadista de cosméticos e produtos de perfumaria;0
1320441;2052-5/00;Fabricação de desinfestantes domissanitários;0
1320441;2061-4/00;Fabricação de sabões e detergentes sintéticos;0
1320441;4649-4/08;Comércio atacadista de produtos de higiene, limpeza e conservação domiciliar;0
1320441;4663-0/00;"Comércio atacadista de máquinas e equipamentos para uso industrial; partes e peças";0
1320441;2093-2/00;Fabricação de aditivos de uso industrial;0
1320441;2062-2/00;Fabricação de produtos de limpeza e polimento;0
1320441;4683-4/00;Comércio atacadista de defensivos agrícolas, adubos, fertilizantes e corretivos do solo;0
1320441;7210-0/00;Pesquisa e desenvolvimento experimental em ciências físicas e naturais;0
1345040;2219-6/00;Fabricação de artefatos de borracha não especificados anteriormente;1
1345040;3319-8/00;Manutenção e reparação de equipamentos e produtos não especificados anteriormente;0
1384116;4641-9/01;Comércio atacadista de tecidos;1
1384116;4693-1/00;Comércio atacadista de mercadorias em geral, sem predominância de alimentos ou de insumos agropecuários;0
1384116;4642-7/01;Comércio atacadista de artigos do vestuário e acessórios, exceto profissionais e de segurança;0
1395739;4744-0/05;Comércio varejista de materiais de construção não especificados anteriormente;1
1395739;7732-2/01;Aluguel de máquinas e equipamentos para construção sem operador, exceto andaimes;0
1395739;4753-9/00;Comércio varejista especializado de eletrodomésticos e equipamentos de áudio e vídeo;0
1395739;4330-4/99;Outras obras de acabamento da construção;0
1395739;4213-8/00;Obras de urbanização - ruas, praças e calçadas;0
1434413;4530-7/01;Comércio por atacado de peças e acessórios novos para veículos automotores;1
1434413;4530-7/03;Comércio a varejo de peças e acessórios novos para veículos automotores;1
1434413;4520-0/07;Serviços de instalação, manutenção e reparação de acessórios para veículos automotores;0
1434415;4530-7/01;Comércio por atacado de peças e acessórios novos para veículos automotores;1
1434415;4530-7/03;Comércio a varejo de peças e acessórios novos para veículos automotores;1
1441945;4530-7/03;Comércio a varejo de peças e acessórios novos para veículos automotores;1
1441945;4753-9/00;Comércio varejista especializado de eletrodomésticos e equipamentos de áudio e vídeo;0
1446141;1313-8/00;Fiação de fibras artificiais e sintéticas;1
1446141;8211-3/00;Serviços combinados de escritório e apoio administrativo;0
1446141;8630-5/02;Atividade médica ambulatorial com recursos para realização de exames complementares;0
1446141;3600-6/01;Captação, tratamento e distribuição de água;0
1446141;2040-1/00;Fabricação de fibras artificiais e sintéticas;0
1477278;2123-8/00;Fabricação de preparações farmacêuticas;1
1477278;2222-6/00;Fabricação de embalagens de material plástico;0
1477278;3250-7/05;Fabricação de materiais para medicina e odontologia;0
1477278;2110-6/00;Fabricação de produtos farmoquímicos;0
1477278;4645-1/01;Comércio atacadista de instrumentos e materiais para uso médico, cirúrgico, hospitalar e de laboratórios;0
1504426;4649-4/99;Comércio atacadista de outros equipamentos e artigos de uso pessoal e doméstico não especificados anteriormente;1
1505719;4929-9/02;Transporte rodoviário coletivo de passageiros, sob regime de fretamento, intermunicipal, interestadual e internacional;1
1505719;4923-0/01;Serviço de táxi;0
1505719;4929-9/01;Transporte rodoviário coletivo de passageiros, sob regime de fretamento, municipal;0
1505719;4930-2/02;Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional;0
1505719;5240-1/99;Atividades auxiliares dos transportes aéreos, exceto operação dos aeroportos e campos de aterrissagem;0
1505719;4924-8/00;Transporte escolar;0
1505719;7711-0/00;Locação de automóveis sem condutor;0
1506688;2821-6/01;Fabricação de fornos industriais, aparelhos e equipamentos não-elétricos para instalações térmicas, peças e acessórios;1
1506688;3311-2/00;Manutenção e reparação de tanques, reservatórios metálicos e caldeiras, exceto para veículos;0
1513086;2063-1/00;Fabricação de cosméticos, produtos de perfumaria e de higiene pessoal;1
1513086;4772-5/00;Comércio varejista de cosméticos, produtos de perfumaria e de higiene pessoal;0
1513086;4646-0/01;Comércio atacadista de cosméticos e produtos de perfumaria;0
1527478;4641-9/01;Comércio atacadista de tecidos;1
1527478;4618-4/99;Outros representantes comerciais e agentes do comércio especializado em produtos não especificados anteriormente;0
1527478;4649-4/04;Comércio atacadista de móveis e artigos de colchoaria;0
1533746;2330-3/05;Preparação de massa de concreto e argamassa para construção;1
1533746;2330-3/01;Fabricação de estruturas pré-moldadas de concreto armado, em série e sob encomenda;0
1533746;7732-2/01;Aluguel de máquinas e equipamentos para construção sem operador, exceto andaimes;0
1543812;1622-6/02;Fabricação de esquadrias de madeira e de peças de madeira para instalações industriais e comerciais;1
1543812;4930-2/02;Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional;0
1772035;8513-9/00;Ensino fundamental;1
1772035;8512-1/00;Educação infantil - pré-escola;0
1772035;8800-6/00;Serviços de assistência social sem alojamento;0
1772035;8550-3/02;Atividades de apoio à educação, exceto caixas escolares;0
1772035;8520-1/00;Ensino médio;0
1772035;9493-6/00;Atividades de organizações associativas ligadas à cultura e à arte;0
1902716;4530-7/03;Comércio a varejo de peças e acessórios novos para veículos automotores;1
1902716;4520-0/01;Serviços de manutenção e reparação mecânica de veículos automotores;0
1902857;1629-3/01;Fabricação de artefatos diversos de madeira, exceto móveis;1
1902858;4763-6/02;Comércio varejista de artigos esportivos;1
1902858;8299-7/99;Outras atividades de serviços prestados principalmente às empresas não especificadas anteriormente;0
1916481;1414-2/00;Fabricação de acessórios do vestuário, exceto para segurança e proteção;1
1916481;1813-0/99;Impressão de material para outros usos;0
1916481;1731-1/00;Fabricação de embalagens de papel;0
1916481;7490-1/99;Outras atividades profissionais, científicas e técnicas não especificadas anteriormente;0
1916481;4689-3/99;Comércio atacadista especializado em outros produtos intermediários não especificados anteriormente;0
1916481;3299-0/05;Fabricação de aviamentos para costura;0
1916481;4616-8/00;Representantes comerciais e agentes do comércio de têxteis, vestuário, calçados e artigos de viagem;0
1916481;1741-9/02;Fabricação de produtos de papel, cartolina, papel-cartão e papelão ondulado para uso comercial e de escritório;0
1916481;4642-7/01;Comércio atacadista de artigos do vestuário e acessórios, exceto profissionais e de segurança;0
1916481;4781-4/00;Comércio varejista de artigos do vestuário e acessórios;0
1919832;4744-0/02;Comércio varejista de madeira e artefatos;1
1919832;4744-0/01;Comércio varejista de ferragens e ferramentas;0
1919832;4759-8/99;Comércio varejista de outros artigos de uso pessoal e doméstico não especificados anteriormente;0
1933418;4663-0/00;"Comércio atacadista de máquinas e equipamentos para uso industrial; partes e peças";1
1933418;2869-1/00;Fabricação de máquinas e equipamentos para uso industrial específico não especificados anteriormente, peças e acessórios;0
1933418;2599-3/99;Fabricação de outros produtos de metal não especificados anteriormente;0
1933418;2452-1/00;Fundição de metais não-ferrosos e suas ligas;0
1933418;2539-0/01;Serviços de usinagem, tornearia e solda;0
1933418;2651-5/00;Fabricação de aparelhos e equipamentos de medida, teste e controle;0
1937671;8424-8/00;Segurança e ordem pública;1
1937671;6911-7/01;Serviços advocatícios;1
1944218;6462-0/00;Holdings de instituições não-financeiras;1
1944218;2862-3/00;Fabricação de máquinas e equipamentos para as indústrias de alimentos, bebidas e fumo, peças e acessórios;1
1944218;7739-0/99;Aluguel de outras máquinas e equipamentos comerciais e industriais não especificados anteriormente, sem operador;0
1944218;2862-3/00;Fabricação de máquinas e equipamentos para as indústrias de alimentos, bebidas e fumo, peças e acessórios;0
1944218;4663-0/00;"Comércio atacadista de máquinas e equipamentos para uso industrial; partes e peças";0
1944218;6463-8/00;Outras sociedades de participação, exceto holdings;0
1944218;3321-0/00;Instalação de máquinas e equipamentos industriais;0
1945342;4663-0/00;"Comércio atacadista de máquinas e equipamentos para uso industrial; partes e peças";1
1945342;3314-7/13;Manutenção e reparação de máquinas-ferramenta;0
1945342;7739-0/99;Aluguel de outras máquinas e equipamentos comerciais e industriais não especificados anteriormente, sem operador;0
1945342;8599-6/04;Treinamento em desenvolvimento profissional e gerencial;0
1945342;3321-0/00;Instalação de máquinas e equipamentos industriais;0
1965489;4744-0/01;Comércio varejista de ferragens e ferramentas;1
1965489;4530-7/03;Comércio a varejo de peças e acessórios novos para veículos automotores;0
1969032;1621-8/00;Fabricação de madeira laminada e de chapas de madeira compensada, prensada e aglomerada;1
1969032;0210-1/01;Cultivo de eucalipto;0
1969032;4930-2/02;Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional;0
1969032;4671-1/00;Comércio atacadista de madeira e produtos derivados;0
1969032;0210-1/07;Extração de madeira em florestas plantadas;0
1969032;1610-2/04;Serrarias sem desdobramento de madeira em bruto - resserragem;0
1971281;1111-9/01;Fabricação de aguardente de cana-de-açúcar;1
1971281;7112-0/00;Serviços de engenharia;0
1971281;1111-9/02;Fabricação de outras aguardentes e bebidas destiladas;0
1971281;5611-2/01;Restaurantes e similares;0
1971281;3314-7/19;Manutenção e reparação de máquinas e equipamentos para as indústrias de alimentos, bebidas e fumo;0
1971281;2862-3/00;Fabricação de máquinas e equipamentos para as indústrias de alimentos, bebidas e fumo, peças e acessórios;0
1975143;2061-4/00;Fabricação de sabões e detergentes sintéticos;1
1975143;2062-2/00;Fabricação de produtos de limpeza e polimento;0
1975143;4789-0/05;Comércio varejista de produtos saneantes domissanitários;0
1975143;2063-1/00;Fabricação de cosméticos, produtos de perfumaria e de higiene pessoal;0
1975143;4759-8/99;Comércio varejista de outros artigos de uso pessoal e doméstico não especificados anteriormente;0
1975143;4649-4/99;Comércio atacadista de outros equipamentos e artigos de uso pessoal e doméstico não especificados anteriormente;0
1975143;2052-5/00;Fabricação de desinfestantes domissanitários;0
1975143;4649-4/08;Comércio atacadista de produtos de higiene, limpeza e conservação domiciliar;0
1975143;4789-0/99;Comércio varejista de outros produtos não especificados anteriormente;0
1975143;4646-0/01;Comércio atacadista de cosméticos e produtos de perfumaria;0
1975143;4772-5/00;Comércio varejista de cosméticos, produtos de perfumaria e de higiene pessoal;0
1975143;4646-0/02;Comércio atacadista de produtos de higiene pessoal;0
1983135;4661-3/00;"Comércio atacadista de máquinas, aparelhos e equipamentos para uso agropecuário; partes e peças";1
1983135;4520-0/01;Serviços de manutenção e reparação mecânica de veículos automotores;0
1985557;2543-8/00;Fabricação de ferramentas;1
1985557;8299-7/99;Outras atividades de serviços prestados principalmente às empresas não especificadas anteriormente;0
1985557;4744-0/01;Comércio varejista de ferragens e ferramentas;0
1985557;3314-7/13;Manutenção e reparação de máquinas-ferramenta;0
1986082;4211-1/01;Construção de rodovias e ferrovias;1
1986082;2399-1/99;Fabricação de outros produtos de minerais não-metálicos não especificados anteriormente;0
1986082;6810-2/02;Aluguel de imóveis próprios;0
1986082;0810-0/99;Extração e britamento de pedras e outros materiais para construção e beneficiamento associado;0
1986082;4313-4/00;Obras de terraplenagem;0
1986082;4744-0/99;Comércio varejista de materiais de construção em geral;0
1986082;0810-0/07;Extração de argila e beneficiamento associado;0
1986082;4930-2/03;Transporte rodoviário de produtos perigosos;0
1986082;7732-2/01;Aluguel de máquinas e equipamentos para construção sem operador, exceto andaimes;0
1986082;0810-0/06;Extração de areia, cascalho ou pedregulho e beneficiamento associado;0
1986082;0810-0/08;Extração de saibro e beneficiamento associado;0
1986082;4399-1/01;Administração de obras;0
1986082;8211-3/00;Serviços combinados de escritório e apoio administrativo;0
1986082;7112-0/00;Serviços de engenharia;0
1986082;0810-0/02;Extração de granito e beneficiamento associado;0
1986082;4222-7/01;Construção de redes de abastecimento de água, coleta de esgoto e construções correlatas, exceto obras de irrigação;0
1986082;0899-1/99;Extração de outros minerais não-metálicos não especificados anteriormente;0
1986082;4212-0/00;Construção de obras-de-arte especiais;0
1986082;0810-0/09;Extração de basalto e beneficiamento associado;0
1986082;4213-8/00;Obras de urbanização - ruas, praças e calçadas;0
1986082;4930-2/01;Transporte rodoviário de carga, exceto produtos perigosos e mudanças, municipal;0
1989284;2930-1/03;Fabricação de cabines, carrocerias e reboques para outros veículos automotores, exceto caminhões e ônibus;1
1989611;4743-1/00;Comércio varejista de vidros;1
1989611;4789-0/99;Comércio varejista de outros produtos não especificados anteriormente;0
1989860;2823-2/00;Fabricação de máquinas e aparelhos de refrigeração e ventilação para uso industrial e comercial, peças e acessórios;1
1989860;4757-1/00;Comércio varejista especializado de peças e acessórios para aparelhos eletroeletrônicos para uso doméstico, exceto informática e comunicação;0
1989860;9521-5/00;Reparação e manutenção de equipamentos eletroeletrônicos de uso pessoal e doméstico;0
2003525;9529-1/99;Reparação e manutenção de outros objetos e equipamentos pessoais e domésticos não especificados anteriormente;1
2003525;4530-7/03;Comércio a varejo de peças e acessórios novos para veículos automotores;0
2003525;4520-0/07;Serviços de instalação, manutenção e reparação de acessórios para veículos automotores;0
2003525;4530-7/01;Comércio por atacado de peças e acessórios novos para veículos automotores;0
2011462;4671-1/00;Comércio atacadista de madeira e produtos derivados;1
2011462;0230-6/00;Atividades de apoio à produção florestal;0
2011462;0161-0/03;Serviço de preparação de terreno, cultivo e colheita;0
2011462;0161-0/99;Atividades de apoio à agricultura não especificadas anteriormente;0
2011462;0210-1/07;Extração de madeira em florestas plantadas;0
2011462;4930-2/02;Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional;0
2019998;4530-7/03;Comércio a varejo de peças e acessórios novos para veículos automotores;1
2019998;5229-0/02;Serviços de reboque de veículos;0
2019998;4520-0/01;Serviços de manutenção e reparação mecânica de veículos automotores;0
2019998;4511-1/01;Comércio a varejo de automóveis, camionetas e utilitários novos;0
2019998;4520-0/02;Serviços de lanternagem ou funilaria e pintura de veículos automotores;0
2019998;4930-2/02;Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional;0
2020646;4530-7/03;Comércio a varejo de peças e acessórios novos para veículos automotores;1
2020646;4530-7/04;Comércio a varejo de peças e acessórios usados para veículos automotores;0
2020646;4530-7/01;Comércio por atacado de peças e acessórios novos para veículos automotores;0
2020646;4520-0/01;Serviços de manutenção e reparação mecânica de veículos automotores;0
2025207;4681-8/05;Comércio atacadista de lubrificantes;1
2025207;3811-4/00;Coleta de resíduos não-perigosos;0
2025207;4930-2/03;Transporte rodoviário de produtos perigosos;0
2025207;5030-1/02;Navegação de apoio portuário;0
2025207;7740-3/00;Gestão de ativos intangíveis não-financeiros;0
2025207;5239-7/99;Atividades auxiliares dos transportes aquaviários não especificadas anteriormente;0
2025207;4637-1/03;Comércio atacadista de óleos e gorduras;0
2025207;7739-0/99;Aluguel de outras máquinas e equipamentos comerciais e industriais não especificados anteriormente, sem operador;0
2025207;3900-5/00;Descontaminação e outros serviços de gestão de resíduos;0
2025207;4930-2/01;Transporte rodoviário de carga, exceto produtos perigosos e mudanças, municipal;0
2025207;5030-1/01;Navegação de apoio marítimo;0
2025207;3839-4/99;Recuperação de materiais não especificados anteriormente;0
2025207;4930-2/02;Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional;0
2025207;3822-0/00;Tratamento e disposição de resíduos perigosos;0
2025207;3812-2/00;Coleta de resíduos perigosos;0
2025207;7719-5/99;Locação de outros meios de transporte não especificados anteriormente, sem condutor;0
2025207;4732-6/00;Comércio varejista de lubrificantes;0
2025207;5021-1/02;Transporte por navegação interior de carga, intermunicipal, interestadual e internacional, exceto travessia;0
2025209;4681-8/05;Comércio atacadista de lubrificantes;1
2025209;3812-2/00;Coleta de resíduos perigosos;0
2025210;3812-2/00;Coleta de resíduos perigosos;1
2025210;4637-1/03;Comércio atacadista de óleos e gorduras;0
2025210;4681-8/05;Comércio atacadista de lubrificantes;0
2025468;1629-3/01;Fabricação de artefatos diversos de madeira, exceto móveis;1
2036630;2330-3/02;Fabricação de artefatos de cimento para uso na construção;1
2036630;2330-3/99;Fabricação de outros artefatos e produtos de concreto, cimento, fibrocimento, gesso e materiais semelhantes;1
2036630;4689-3/01;Comércio atacadista de produtos da extração mineral, exceto combustíveis;0
2036630;2330-3/02;Fabricação de artefatos de cimento para uso na construção;0
2036630;4744-0/99;Comércio varejista de materiais de construção em geral;0
2036630;2330-3/01;Fabricação de estruturas pré-moldadas de concreto armado, em série e sob encomenda;0
2036630;7711-0/00;Locação de automóveis sem condutor;0
2036630;4930-2/01;Transporte rodoviário de carga, exceto produtos perigosos e mudanças, municipal;0
2036630;4930-2/02;Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional;0
2036630;4744-0/04;Comércio varejista de cal, areia, pedra britada, tijolos e telhas;0
2040699;3811-4/00;Coleta de resíduos não-perigosos;1
2040699;3821-1/00;Tratamento e disposição de resíduos não-perigosos;0
2040699;4744-0/99;Comércio varejista de materiais de construção em geral;0
2040699;3831-9/99;Recuperação de materiais metálicos, exceto alumínio;0
2041727;2829-1/99;Fabricação de outras máquinas e equipamentos de uso geral não especificados anteriormente, peças e acessórios;1
2041727;0321-3/05;Atividades de apoio à aqüicultura em água salgada e salobra;0
2041727;4669-9/99;"Comércio atacadista de outras máquinas e equipamentos não especificados anteriormente; partes e peças";0
2041727;3321-0/00;Instalação de máquinas e equipamentos industriais;0
2041727;2833-0/00;Fabricação de máquinas e equipamentos para a agricultura e pecuária, peças e acessórios, exceto para irrigação;0
